Req ID,Req Name,Description,Pre-requisite,Cost,Value,Test Cases,Importance
101,URL,Unique web address to access the website,0,8,9,3,H
102,Choose Region Modal,To choose the city inorder to proceed,101,3,2,3,H
103,Home Page,Contains various...,102,7,8,5,H
104,Change Region,Enables to change the city,103,4,3,1,M
105,Search,To perform search ,103,6,7,2,H
106,Search Results,Displays the search results,105,7,8,1,H
107,Login Button,Sign in to the system for existing users,103,6,3,4,L
108,Forgot Password,To enable sign in when user forgets password,107,5,4,0,L
109,Continue with Facebook,To login with Facebook account,107,7,1,0,L
110,Continue with Google,To login with Google account,107,7,3,0,L
111,Continue with mobile number or email id,To login with mobile number or email id,107,5,6,0,M
112,Sign Up,To enable registration for a new user,107,6,4,3,M
113,Category,To choose from various category,103,4,3,1,H
114,Category List, To explore the various choices in each category,112,5,7,1,M
115,Customer Care,To connect with support center,103,7,2,0,L
116,Resend Booking Confirmation,To resend confirmation details,103,7,6,0,M
117,Subscribe to Newsletters,To initiate free subscripton to the Newsletter,103,3,2,0,L
118,Best language genre movies,Quick view to the best genre movies according to language,103,4,5,0,M
119,Movies by Genre,To quickly view to the movies by genre,103,5,4,0,M
120,Popular movies by language,Quick view to the popular movies by language,103,5,4,0,M
121,Trending Movies Reviews,Displays the popular movie reviews in general,103,6,5,0,M
122,To do in the region,To view the the things to do in the selected region,103,6,6,0,M
123,Quick book,To quickly book tickets online,103,8,6,0,M
124,Archived Collection,To view the archived stuff,103,7,5,0,M
125,BookMyShow App,Quick links to the android and ios applications,103,5,9,0,H
126,Help,To get the site related queries cleared,103,2,6,0,M
127,Select Movie,To select a particular movie,114,6,9,1,H
128,Movie Details,To view the movie details,127,7,8,2,H
129,Movie's Trending Stories,To display the trending stories related to the movie,127,7,4,0,M
130,View Movie Reviews,To view the movie reviews,127,4,8,0,M
131,Rate Movie ,To enable the user to post ratings,127,6,6,0,M
132,Share Movie ,To share movie in social media,127,8,5,0,L
133,Book Ticket,To book tickets for a movie,127,4,9,1,H
134,Corporate Booking,To request for corporate booking,127,6,8,0,M
135,Applicable Offers,"Displays applicable offers, if any",127,3,5,0,L
136,Select Show Time,To select the desired show time,133,4,8,2,H
137,Terms and Conditions,To perform either 'Accept' or 'Cancel' with Terms,136,2,4,0,M
138,Number of Seats,Gets the number of seats to proceed with selection,137,5,8,1,H
139,Select Seats,To select the desired seats based on availabiity,138,5,8,3,H
140,Prebook Food,Optional pre booking of food to be delivered at the seat,139,7,7,0,M
141,Review Booking Summary,To review the booking details,139,4,8,1,M
142,Select Ticket Type,To choose between M-ticket and box office pickup,139,2,8,0,M
143,Proceed for Payment,To proceed with the payment process,142,1,7,0,H
144,Share Contact Details,To communicate the booking details for those who aren't logged in,143,5,6,0,M
